Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470pF","C_0805_2012Metric",113.700000,-70.800000,0.000000,bottom
"C2","1uF","C_0805_2012Metric",94.730000,-85.975000,180.000000,bottom
"C3","22uF","C_0805_2012Metric",94.730000,-88.250000,180.000000,bottom
"C4","22uF","C_0805_2012Metric",94.730000,-90.475000,180.000000,bottom
"C5","22uF","C_0805_2012Metric",103.370000,-88.320000,180.000000,bottom
"C6","22uF","C_0805_2012Metric",103.370000,-86.080000,180.000000,bottom
"C7","100nF","C_0805_2012Metric",94.700000,-83.750000,180.000000,bottom
"C8","1uF","C_0805_2012Metric",81.200000,-90.280000,270.000000,bottom
"C9","1uF","C_0805_2012Metric",113.700000,-73.100000,0.000000,bottom
"C10","100nF","C_0805_2012Metric",96.450000,-50.550000,180.000000,bottom
"C11","100nF","C_0805_2012Metric",96.550000,-55.960000,0.000000,bottom
"C12","100uF","CP_Elec_6.3x5.9",55.000000,-51.500000,270.000000,bottom
"D1","1N5819","D_SMA",87.080000,-92.535000,180.000000,bottom
"D2","1N5819","D_SMA",87.105000,-87.710000,180.000000,bottom
"D3","1N5819","D_SMA",56.100000,-85.900000,180.000000,bottom
"D5","1N5819","D_SMA",103.500000,-81.350000,90.000000,bottom
"F1","Fuse","Fuse_1812_4532Metric",76.100000,-89.300000,0.000000,bottom
"L1","6.8uH","L_6.3x6.3_H3",96.900000,-79.150000,180.000000,bottom
"Q1","BC846","SOT-23",54.500000,-64.390000,270.000000,bottom
"Q2","BC846","SOT-23",67.560000,-47.070000,180.000000,bottom
"Q3","AO3401A","SOT-23",54.485000,-74.440000,270.000000,bottom
"Q4","AO3401A","SOT-23",60.025000,-46.985000,180.000000,bottom
"Q5","AO3401A","SOT-23",105.400000,-71.600000,270.000000,bottom
"R1","22k","R_0805_2012Metric",97.700000,-66.800000,0.000000,bottom
"R2","33k","R_0805_2012Metric",97.700000,-64.700000,0.000000,bottom
"R3","5.1k","R_0805_2012Metric",65.075000,-87.525000,270.000000,bottom
"R4","10k","R_0805_2012Metric",70.925000,-46.985000,270.000000,bottom
"R5","10k","R_0805_2012Metric",54.485000,-60.490000,0.000000,bottom
"R6","100k","R_0805_2012Metric",54.485000,-70.740000,0.000000,bottom
"R7","100k","R_0805_2012Metric",63.675000,-46.985000,270.000000,bottom
"R8","5.1k","R_0805_2012Metric",67.325000,-87.525000,270.000000,bottom
"R9","100k","R_0805_2012Metric",102.500000,-71.600000,90.000000,bottom
"R10","100k","R_0805_2012Metric",103.480000,-90.550000,180.000000,bottom
"R11","14k","R_0805_2012Metric",98.950000,-87.850000,180.000000,bottom
"R12","1.5k","R_0805_2012Metric",97.700000,-68.900000,180.000000,bottom
"R13","10k","R_0805_2012Metric",97.700000,-71.000000,0.000000,bottom
"R14","10k","R_0805_2012Metric",96.450000,-53.050000,0.000000,bottom
"R15","4k7","R_0805_2012Metric",101.000000,-59.420000,0.000000,bottom
"U4","MT3608","SOT-23-6_Handsoldering",98.910000,-84.535000,180.000000,bottom
